Week,"Anchorage, AK","Birmingham, AL","Little Rock, AR","Phoenix, AZ","Tucson, AZ","Fresno, CA","Los Angeles, CA","Oakland, CA","Sacramento, CA","San Diego, CA","San Francisco, CA","San Jose, CA","Colorado Springs, CO","Denver, CO","Washington, DC","Gainesville, FL","Jacksonville, FL","Miami, FL","Orlando, FL","Tampa, FL","Atlanta, GA","Honolulu, HI","Des Moines, IA","Boise, ID","Chicago, IL","Indianapolis, IN","Wichita, KS","Lexington, KY","Baton Rouge, LA","New Orleans, LA","Boston, MA","Baltimore, MD","Grand Rapids, MI","St Paul, MN","Kansas City, MO","St Louis, MO","Jackson, MS","Charlotte, NC","Durham, NC","Greensboro, NC","Lincoln, NE","Omaha, NE","Newark, NJ","Albuquerque, NM","Las Vegas, NV","Reno, NV","Albany, NY","Buffalo, NY","New York, NY","Rochester, NY","Cleveland, OH","Columbus, OH","Dayton, OH","Oklahoma City, OK","Tulsa, OK","Eugene, OR","Portland, OR","Philadelphia, PA","Pittsburgh, PA","State College, PA","Providence, RI","Columbia, SC","Greenville, SC","Knoxville, TN","Memphis, TN","Nashville, TN","Austin, TX","Dallas, TX","Houston, TX","Lubbock, TX","San Antonio, TX","Salt Lake City, UT","Norfolk, VA","Reston, VA","Richmond, VA","Seattle, WA","Spokane, WA","Madison, WI","Milwaukee, WI"
1/16/2005,45391.8924,32664.9038,42574.7166,29711.324,32512.3534,17826.7944,28770.0874,28577.304,30062.8702,23689.6778,35619.5682,38522.6594,26060.4237,27379.6968,30838.6872,27793.3021,17087.6242,18435.0885,22936.5077,21130.0171,24787.4202,24993.8008,8283.66993,36993.9165,78738.4392,52393.126,7625.16681,28385.5941,43510.5879,56449.38,35830.7343,40716.8784,53318.6828,99927.0788,8298.63591,5702.03838,27452.7342,25409.3268,31347.0541,23380.7267,6091.15386,10812.92055,37097.8454,37731.954,31559.7766,23281.4306,54528.5466,36108.3888,29588.8186,49974.3354,50376.7344,56194.52,48261.176,49809.1503,55023.2904,43678.9908,64471.713,42132.8268,35309.5164,26479.35,54564.57,20004.6623,19560.4433,26934.4787,20137.928,21292.8974,59970.0387,68155.1988,68541.4314,53255.5335,41594.28,18508.0632,26613.1404,31641.4296,37071.09,85645.08,34495.935,97117.3528,69251.482
1/23/2005,50664.3544,31940.6304,71774.5336,29583.5124,34337.5656,28401.1572,33660.1746,29263.2912,34473.0438,26356.668,44978.7624,45397.5132,45040.1634,66641.3466,45303.0586,40523.3168,16730.8064,19297.4642,22814.736,23425.845,29740.638,23277.618,13265.9601,45308.7144,101292.1364,68347.6066,10372.3425,27119.6594,67293.7874,81107.7008,31237.3936,65888.1046,64565.2266,131778.1192,14095.7475,10489.3638,23466.5856,23262.8826,34480.1278,22122.1458,8521.2783,17404.2588,44446.4442,58435.538,35643.0828,24090.4872,59063.9058,50207.0202,39135.9132,66948.6942,67553.3068,61652.794,56660.0524,67582.8678,70783.4008,53020.836,78701.1298,57031.7476,49707.301,43116.8948,66257.786,18822.1572,20288.8188,33067.787,17165.3728,23072.7598,120587.824,121413.768,112245.7896,76337.8742,72930.8552,28556.538,36398.8294,45893.4824,48127.5184,74416.6178,39819.1834,184996.2058,94256.9096
1/30/2005,44168.3548,54249.2444,121742.4516,48875.5248,65174.166,59462.502,52628.904,57871.3956,60441.6444,36799.4352,91753.8024,75679.548,42950.2964,54022.3948,65870.56,72488.2145,25965.6241,28100.6206,42354.2639,47783.255,59291.9028,33576.4248,24157.092,42020.9896,112322.0157,93507.037,15634.2528,55875.9084,102145.3752,136979.0532,28056.733,86737.184,83929.1907,169637.6651,20112.8148,18864.246,41805.2648,48474.5872,53700.2453,36152.6074,14928.54,25677.0888,48580.35,97960.3218,48651.138,36921.828,73268.4212,67586.8336,48413.7888,89091.7352,79802.7668,62426.3579,67272.0667,114875.9568,93825.3888,65536.7438,74105.152,62234.432,72028.224,60187.968,54781.2758,35461.2752,38368.9371,118177.1396,26534.9565,47295.2558,161913.9522,182814.159,153167.9424,120238.8396,141164.1066,29674.2732,45552.096,56551.84,85037.888,72147.2602,35557.8414,172514.8047,107022.0217
2/6/2005,62183.8925,119516.5656,366739.9884,76457.736,117716.688,93393,95468.4,111075.408,97350.096,62234.328,105624.024,126544.056,46295.9412,58839.44,123401.9388,112122.8916,47667.4512,42216.4288,56771.8184,68775.6656,111803.9488,55814.424,42426.8074,66827.5695,105799.654,97789.024,22031.3118,122300.0664,191055.9435,260010.9294,37743.1665,162089.0418,116035.459,116094.797,27948.0938,36718.853,131549.4076,76923.2044,130911.522,61410.9864,27164.9903,45733.2444,59412.2975,143628.9009,72445.296,49422.192,84733.3,97740.2575,53849.2,100690.085,76427.344,66221.208,66577.236,227882.9328,185846.9826,79655.1525,74045.9585,129382.143,116968.2594,119093.9244,51558.9675,75734.4176,63788.56,279567.8616,53553.3956,149729.1472,236042.424,350603.1375,246642.4773,248536.6449,263362.149,33565.226,116571.4686,100558.1256,174134.4768,83057.4505,42988.495,131789.698,83874.263
2/13/2005,81448.4079,141625.4964,336826.9056,82043.13,129584.078,87486.75,88627.318,113175.452,97077.89,87720.048,117141.518,108561.336,41839.0896,40186.355,139419.5364,104046.2685,73069.1733,44543.5029,55129.2009,77219.8812,106971.264,86527.636,50840.3295,83662.4319,97777.8409,113364.7618,26597.8221,166919.7432,260225.728,234373.6832,32144.9175,157820.6812,108110.4137,99010.7047,31978.663,45133.9573,196336.8408,84964.155,153631.9065,71174.8905,41993.5377,57082.8709,83694.457,152724.8768,84713.096,54850.952,111766.7362,92847.4736,64161.965,118262.4254,110429.3718,93550.8793,88795.5475,241604.0704,241911.0208,99492.7035,144299.0142,157232.7852,118901.966,148061.6076,47912.6385,118754.8173,79977.7341,188898.9951,78724.1646,139480.4997,265648.5184,305313.3312,218241.7344,287373.7856,261419.424,32398.1262,147032.7896,108290.4432,217639.0992,127444.7565,68994.5229,109695.5243,104793.423
2/20/2005,96849.315,124979.3232,294317.2656,74792.7181,119766.4547,82124.8313,72908.0552,123148.521,93045.5492,68622.3834,105050.5937,92271.0302,32413.916,30459.308,110717.9664,94100.8472,64897.136,42627.9978,60160.6918,66545.7326,94493.3702,96014.5387,46015.1004,116186.841,63264.772,85554.0824,29131.6056,135420.435,266711.6988,223260.4656,19242.3465,138366.4966,73215.357,54047.388,34105.7292,39062.0244,183831.605,77667.2176,137121.368,81069.0836,41950.2252,49776.8928,64169.82,152985.2904,78897.6688,63717.0964,79092.585,67374.45,56119.635,71216.145,80442.624,57399.164,73634.329,248592.2148,280567.7748,140989.32,142541.496,136942.2722,110470.2752,146787.9974,36351.8064,109304.5714,102893.3624,116500.8264,93080.2874,126941.9382,188584.7472,202440.8232,174444.444,297408.2364,261062.6832,29726.33,152453.9336,116012.3658,193787.4026,160941.249,84302.559,75079.7824,69360.8146
2/27/2005,102539.9564,115174.5303,232223.1254,52661.0392,56629.5972,52471.2386,37597.7734,81752.2948,54231.2078,34716.2552,43654.138,56526.0696,28495.866,26109.2475,89042.566,81066.656,62987.8705,27751.5115,53706.6596,46014.5394,61398.7798,59235.0418,42515.3902,132581.5057,59159.0811,69478.7886,31395.4102,98016.9568,247073.4162,188149.0972,11147.7366,118418.409,61527.1824,46970.9634,35472.7362,35046.4703,160244.8274,66741.8094,99905.4414,81481.2014,40180.1944,45221.252,60894.0888,147140.496,42946.6994,42239.2608,62640.0168,57479.8296,37634.448,58430.3904,74975.3907,76192.0299,71564.4558,252284.6421,221596.3118,137372.7656,134050.3591,118071.326,95006.083,140505.509,26063.3562,83116.3527,103383.0167,75654.5355,79615.7471,86179.3826,179259.3589,171527.6708,143734.466,259437.3051,160900.8572,22574.181,125139.198,110624.818,190422.355,134260.1953,113241.6026,63286.9641,66176.4822
3/6/2005,87117.8875,93060,141643.0898,28709.031,31455.781,29763.783,27082.955,46046.517,37564.553,19578.834,31060.249,30115.367,20855.3065,17482.766,100052.8527,69696,55330,22682,46156,38126,57948,35520.971,35303.196,135111.605,40205.9418,55053.3474,24205.6792,75636,133352.2414,97138.0019,7184.2244,118967.6229,43067.8833,34291.2627,27681.4464,26808.608,131846,71544,90838,85734,28616.6304,33931.5928,44467.0172,101819.0708,28214.616,26280.904,40372.0416,42716.8824,31179.586,38689.8732,62407.6698,62390.3247,55591.0455,148420.1597,131139.7959,125821.3675,101947.21,109789.4226,139801.7886,146746.5105,19843.2436,68354,94864,61776,74734,67584,78623.3264,81976.928,81557.7278,150609.3163,88823.8646,18511.164,130728.2826,119525.9925,178503.7815,94444.905,105032.27,43293.3696,41038.5066
3/13/2005,40847.5991,62421.4538,74675.1468,25201.3888,27827.0112,27872.8736,18367.8912,39441.664,28274.1696,17840.4736,28652.5344,27689.424,13550.784,9084.608,75383.5635,44461.1222,36529.488,15389.738,27802.9992,28428.7358,42178.0292,33158.5152,27082.6777,59103.7137,24204.451,38335.3002,19024.46,51919.226,69041.161,51557.3562,8094.2137,92777.5255,29298.1292,21701.8498,21579.1732,19690.3161,81295.0226,46710.3916,58683.946,61119.2452,21959.6624,25832.4989,37705.2625,56439.1978,28492.016,26233.2928,35831.9063,39197.5971,25814.2134,34799.9728,46727.8618,39409.6492,37817.0848,73270.1982,66500.9004,63237.8639,38817.1094,69955.2465,101883.0895,107865.912,18503.0639,47995.6884,61068.5098,40791.2616,52764.816,51733.1962,40246.8104,40956.3804,40502.2556,85375.4624,42375.5204,10800.0256,109967.196,99781.8055,126777.468,40500.0378,49573.217,26087.7216,27111.513
3/20/2005,47839.7502,65188.2784,55745.9194,12545.625,16372.877,14312.049,11281.026,16653.899,14051.1,9795.624,11321.172,14198.302,11580.60732,6873.27816,66064.1457,45751.4064,42632.9632,20654.3464,34409.6712,38980.54,36887.3384,18540.761,18091.588,65354.85,26030.9764,39928.317,13049.836,58161.1016,49348.3134,37626.598,11066.715,88740.4785,33020.4732,24675.5366,14325.46,12837.232,83642.6272,50001.8872,63629.0568,67601.868,14811.412,18334.564,29484,41822.9938,15650.249,15001.222,25804.8,27669.6,22692.6,27190.8,49171.4366,40679.5246,54838.1548,42885.647,44382.0362,75122.4294,36075.8772,79753.6932,87806.3682,103331.9256,18709.13,54166.9312,70997.9808,47908.6856,61898.9616,59720.3232,25200.0616,29635.0122,26436.2092,57947.1296,27650.67,10386.92876,111255.7578,106069.8351,117794.5299,46413.8262,57345.9102,31060.8012,29738.0226
